Sistema;Status do Processo;Data Última Distribuição;Assunto Código;Data Primeira Distribuição;Classe Judicial;Órgão Julgador;Parte Polo Ativo?;Parte Polo Passivo?;Parte Outros Participantes?;Data Trânsito Julgado;Tempo em Anos
PJe;D;42.969.462.120.486;5571.0;42.968.599.001.736;283;2ª Vara Federal;S;N;N;13/01/2020;2.0
PJe;D;42.926.701.227.662;3432.0;42.926.701.227.662;283;14ª Vara Federal;S;N;N;25/09/2019;2.0
PJe;D;43.053.375.022.454;3539.0;43.053.375.022.454;283;9ª Vara Federal;S;N;N;23/04/2018;0.0
PJe;D;43.502.733.639.676;7792.0;43.742.533.203.368;386;15ª Vara Federal;S;N;N;10/12/2018;3.0
PJe;D;425.737.125;3432.0;;283;14ª Vara Federal;S;N;N;15/05/2020;2.0
PJe;D;43.200.595.288.958;7787.0;43.166.670.280.359;386;14ª Vara Federal;S;N;N;28/09/2017;1.0
PJe;D;43.125.655.311.053;5566.0;43.844.362.003.229;283;11ª Vara Federal;S;N;N;23/09/2019;9.0
PJe;D;42.558.559.027.778;5566.0;;283;15ª Vara Federal;S;N;N;20/03/2018;4.0
PJe;D;42.531.713.888.889;5566.0;;283;14ª Vara Federal;S;N;N;27/02/2020;9.0
PJe;D;42.194.729.166.667;3548.0;09/07/2015 17:30;283;14ª Vara Federal;S;N;N;01/08/2018;2.0
PJe;D;42.499.746.527.778;3615.0;09/05/2016 17:55;283;11ª Vara Federal;S;N;N;26/08/2019;1.0
PJe;D;41.695.422.222.222.000;3431.0;25/02/2014 10:08;283;12ª Vara Federal;S;N;N;28/01/2019;1.0
PJe;D;39.269.521.527.778;3614.0;06/07/2007 12:31;283;2ª Vara Federal;S;N;N;07/05/2019;2.0
PJe;D;42.703.577.071.505;3568.0;42.691.571.370.787;283;2ª Vara Federal;S;N;N;27/04/2018;3.0
PJe;D;41.877.715.972.222;10637.0;26/08/2014 17:11;283;8ª Vara Federal;S;N;N;18/05/2018;5.0
PJe;D;41.877.715.972.222;10637.0;26/08/2014 17:11;386;8ª Vara Federal;S;N;N;18/05/2018;5.0
PJe;D;43.241.669.286.412.000;3432.0;43.241.669.286.412;283;11ª Vara Federal;S;N;N;27/02/2020;3.0
PJe;D;42.844.518.506.123;3574.0;42.844.518.506.123;283;12ª Vara Federal;S;N;N;12/12/2018;2.0
PJe;D;42.612.454.861.111;3604.0;05/08/2015 17:12;283;15ª Vara Federal;S;N;N;26/09/2017;3.0
PJe;D;42.612.454.861.111;5874.0;05/08/2015 17:12;283;15ª Vara Federal;S;N;N;26/09/2017;3.0
PJe;D;42.312.727.083.333;3432.0;04/11/2015 17:27;283;14ª Vara Federal;S;N;N;04/02/2020;3.0
PJe;D;42.149.654.166.667;3572.0;25/05/2015 15:42;283;11ª Vara Federal;S;N;N;14/01/2019;1.0
PJe;D;41.977.664.583.333;3550.0;04/12/2014 15:57;283;9ª Vara Federal;S;N;N;11/11/2019;4.0
PJe;D;41.977.664.583.333;3548.0;04/12/2014 15:57;283;9ª Vara Federal;S;N;N;11/11/2019;4.0
PJe;D;42.969.462.120.486;3542.0;42.968.599.001.736;283;14ª Vara Federal;S;N;N;13/01/2020;2.0
PJe;D;4.218.584.375;3548.0;30/06/2015 20:15;1033;12ª Vara Federal;S;N;N;03/03/2020;4.0
PJe;D;425.527.625;5566.0;01/07/2016 18:18;283;14ª Vara Federal;S;N;N;02/04/2018;6.0
PJe;D;42.830.789.446.447;5566.0;42.632.370.997.951;283;14ª Vara Federal;S;N;N;26/11/2018;13.0
PJe;D;42509.75;3431.0;19/05/2016 18:00;283;14ª Vara Federal;S;N;N;02/08/2019;4.0
PJe;D;42509.75;3431.0;19/05/2016 18:00;283;14ª Vara Federal;S;N;N;02/08/2019;4.0
PJe;D;42509.75;3432.0;19/05/2016 18:00;283;14ª Vara Federal;S;N;N;02/08/2019;4.0
PJe;D;42509.75;3432.0;19/05/2016 18:00;283;14ª Vara Federal;S;N;N;02/08/2019;4.0
PJe;D;4.250.075.625;3604.0;10/05/2016 18:09;283;14ª Vara Federal;S;N;N;10/01/2019;3.0
PJe;D;41.382.618.055.556;3536.0;;283;11ª Vara Federal;S;N;N;15/10/2019;2.0
PJe;D;424.437.125;3604.0;14/03/2016 17:06;283;2ª Vara Federal;S;N;N;28/02/2020;3.0
PJe;D;424.437.125;3604.0;14/03/2016 17:06;283;2ª Vara Federal;S;N;N;28/02/2020;3.0
PJe;D;424.437.125;3642.0;14/03/2016 17:06;283;2ª Vara Federal;S;N;N;28/02/2020;3.0
PJe;D;424.437.125;3642.0;14/03/2016 17:06;283;2ª Vara Federal;S;N;N;28/02/2020;3.0
PJe;D;42.979.674.672.685;5566.0;42.979.674.672.685;283;15ª Vara Federal;S;N;N;11/01/2019;13.0
PJe;D;43.321.458.988.299;10851.0;43.269.485.226.794;283;2ª Vara Federal;S;N;N;09/04/2019;2.0
PJe;D;4.252.874.375;5566.0;07/06/2016 17:51;283;9ª Vara Federal;S;N;N;07/08/2018;10.0
PJe;D;42.956.710.816.979;5566.0;42.956.710.816.979;283;12ª Vara Federal;S;N;N;12/11/2018;3.0
PJe;D;42.530.723.611.111;3614.0;09/06/2016 17:22;283;2ª Vara Federal;S;N;N;29/01/2019;2.0
PJe;D;43.364.455.617.674;5566.0;43.364.455.617.674;283;15ª Vara Federal;S;N;N;27/02/2020;8.0
PJe;D;42.587.441.666.667;5836.0;05/08/2016 10:36;283;9ª Vara Federal;S;N;N;03/09/2019;3.0
PJe;D;42.465.670.833.332.900;3614.0;;283;14ª Vara Federal;S;N;N;15/06/2018;2.0
PJe;D;42.576.706.944.444;5836.0;25/07/2016 16:58;1033;9ª Vara Federal;S;N;N;25/06/2018;1.0
PJe;D;42.576.706.944.444;5836.0;25/07/2016 16:58;283;9ª Vara Federal;S;N;N;25/06/2018;1.0
PJe;D;43.039.589.775.741;10864.0;01/12/1997 14:48;283;15ª Vara Federal;S;N;N;22/03/2019;5.0
PJe;D;43.039.589.775.741;10864.0;01/12/1997 14:48;386;15ª Vara Federal;S;N;N;22/03/2019;5.0
PJe;D;43.199.727.943.889;7792.0;43.172.490.581.331;386;14ª Vara Federal;S;N;N;18/08/2017;1.0
PJe;D;42.703.577.071.505;3568.0;42.691.571.370.787;283;14ª Vara Federal;S;N;N;27/04/2018;3.0
PJe;D;43.200.582.431.887;7785.0;43.166.671.817.153;386;14ª Vara Federal;S;N;N;18/08/2017;1.0
PJe;D;43.200.582.431.887;7792.0;43.166.671.817.153;386;15ª Vara Federal;S;N;N;18/08/2017;1.0
PJe;D;43.739.533.044.039;5566.0;43.739.533.044.039;283;15ª Vara Federal;S;N;N;12/05/2020;7.0
PJe;D;42.969.468.073.044;3548.0;42.969.468.073.044;283;14ª Vara Federal;S;N;N;30/10/2018;3.0
PJe;D;42.948.469.380.231;3432.0;42.948.469.380.231;283;11ª Vara Federal;S;N;N;25/06/2018;1.0
PJe;D;43.259.610.571.215;7787.0;43.243.700.068.484;386;15ª Vara Federal;S;N;N;15/02/2017;1.0
PJe;D;43.259.610.571.215;7785.0;43.243.700.068.484;386;14ª Vara Federal;S;N;N;15/02/2017;1.0
PJe;D;42.969.462.120.486;3417.0;42.968.599.001.736;283;14ª Vara Federal;S;N;N;13/01/2020;2.0
PJe;D;42.969.462.120.486;3542.0;42.968.599.001.736;283;2ª Vara Federal;S;N;N;13/01/2020;2.0
PJe;D;43.117.592.741.157;3432.0;43.116.456.088.495;283;2ª Vara Federal;S;N;N;12/12/2018;2.0
PJe;D;42.728.558.124.491;5566.0;42.728.558.124.491;283;14ª Vara Federal;S;N;N;04/06/2019;7.0
PJe;D;43.025.726.754.757;3531.0;43.025.726.754.757;283;12ª Vara Federal;S;N;N;29/09/2019;0.0
PJe;D;43.025.726.754.757;3432.0;43.025.726.754.757;283;12ª Vara Federal;S;N;N;29/09/2019;0.0
PJe;D;43.025.726.754.757;3432.0;43.025.726.754.757;283;12ª Vara Federal;S;N;N;29/09/2019;2.0
PJe;D;43.025.726.754.757;3542.0;43.025.726.754.757;283;12ª Vara Federal;S;N;N;29/09/2019;0.0
PJe;D;43.025.726.754.757;3542.0;43.025.726.754.757;283;12ª Vara Federal;S;N;N;29/09/2019;2.0
PJe;D;42.851.514.933.565;5566.0;42.851.514.933.565;283;15ª Vara Federal;S;N;N;30/01/2018;10.0
PJe;D;42.998.787.919.317;3539.0;42.998.787.919.317;283;9ª Vara Federal;S;N;N;30/10/2018;2.0
PJe;D;43.396.501.409.155;3574.0;43.396.501.409.155;283;12ª Vara Federal;S;N;N;25/03/2019;1.0
PJe;D;42.696.773.156.169;7787.0;42.690.593.148.241;283;10ª Vara Federal;S;N;N;29/01/2018;2.0
PJe;D;42.696.773.156.169;7787.0;42.690.593.148.241;283;8ª Vara Federal;S;N;N;29/01/2018;2.0
PJe;D;43.137.570.281.932.900;10636.0;4.351.853.807.272;386;11ª Vara Federal;S;N;N;22/08/2017;8.0
PJe;D;42.830.789.446.447;5566.0;42.632.370.997.951;283;2ª Vara Federal;S;N;N;26/11/2018;13.0
PJe;D;4.332.669.376.331;3432.0;4.332.669.376.331;1733;12ª Vara Federal;S;N;N;19/02/2019;0.0
PJe;D;42.293.695.833.333;3432.0;;283;14ª Vara Federal;S;N;N;24/07/2019;1.0
PJe;D;42.293.695.833.333;5836.0;;283;14ª Vara Federal;S;N;N;04/12/2018;1.0
PJe;D;43.200.595.288.958;7792.0;43.166.670.280.359;386;15ª Vara Federal;S;N;N;28/09/2017;1.0
PJe;D;42.626.450.159.977;5566.0;42.626.450.159.977;283;14ª Vara Federal;S;N;N;24/09/2019;10.0
PJe;D;43.003.659.735.197.000;5566.0;43.003.659.735.197.000;283;15ª Vara Federal;S;N;N;01/10/2019;9.0
PJe;D;43.354.502.710.798.900;7785.0;43.347.583.765.475;386;14ª Vara Federal;S;N;N;17/08/2017;2.0
PJe;D;43.354.502.710.798.900;7785.0;43.347.583.765.475;386;15ª Vara Federal;S;N;N;17/08/2017;2.0
PJe;D;43.354.502.710.798.900;7787.0;43.347.583.765.475;386;15ª Vara Federal;S;N;N;17/08/2017;2.0
PJe;D;43.206.326.597.708;10636.0;43.206.326.597.708;386;11ª Vara Federal;S;N;N;23/05/2017;32.0
PJe;D;43.425.635.191.053;7785.0;43.425.635.191.053;386;15ª Vara Federal;S;N;N;10/10/2018;2.0
PJe;D;43.354.619.444.919;7787.0;43.330.804.321.794;386;15ª Vara Federal;S;N;N;19/06/2018;2.0
PJe;D;43.332.755.890.035;7792.0;43.332.755.890.035;386;15ª Vara Federal;S;N;N;21/03/2018;13.0
PJe;D;42.933.748.516.308;3637.0;42.928.719.488.461;283;2ª Vara Federal;S;N;N;02/07/2018;3.0
PJe;D;4.351.547.211.463;3531.0;43.504.694.113.704;283;2ª Vara Federal;S;N;N;24/09/2019;1.0
PJe;D;43.321.458.988.299;3419.0;43.269.485.226.794;283;2ª Vara Federal;S;N;N;09/04/2019;6.0
PJe;D;43.321.458.988.299;10851.0;43.752.614.677.731;283;2ª Vara Federal;S;N;N;09/04/2019;6.0
PJe;D;43.013.641.644.954;10636.0;43.013.641.644.954;283;15ª Vara Federal;S;N;N;06/03/2019;11.0
PJe;D;4.364.465.061.375;3531.0;43.644.540.514.421;283;2ª Vara Federal;S;N;N;17/12/2019;2.0
PJe;D;43.306.592.321.887;5566.0;43.306.592.321.887;283;15ª Vara Federal;S;N;N;17/02/2020;8.0
PJe;D;42.558.559.027.778;5566.0;;283;15ª Vara Federal;S;N;N;15/02/2018;4.0
PJe;D;42.558.559.027.778;5840.0;;283;15ª Vara Federal;S;N;N;15/02/2018;4.0
PJe;D;42.622.554.525.764;3419.0;42.618.661.219.745;283;10ª Vara Federal;S;N;N;17/08/2018;12.0
PJe;D;42.758.754.672.049;3608.0;43.178.640.695.417;283;2ª Vara Federal;S;N;N;25/05/2017;3.0
PJe;D;42.758.754.672.049;3608.0;42.758.464.919.456;283;2ª Vara Federal;S;N;N;25/05/2017;3.0
PJe;D;43.362.608.070.266.000;7788.0;43.354.786.786.505;386;14ª Vara Federal;S;N;N;16/08/2016;3.0
PJe;D;43.362.608.070.266.000;7787.0;43.354.786.786.505;386;14ª Vara Federal;S;N;N;16/08/2016;3.0
PJe;D;42.612.454.861.111;3604.0;05/08/2015 17:12;283;15ª Vara Federal;S;N;N;26/09/2017;6.0
PJe;D;42.612.454.861.111;5874.0;05/08/2015 17:12;283;15ª Vara Federal;S;N;N;26/09/2017;6.0
PJe;D;4.232.071.875;3614.0;12/11/2015 17:15;283;14ª Vara Federal;S;N;N;16/04/2019;2.0
PJe;D;42.459.685.416.667;3524.0;30/03/2016 16:27;283;14ª Vara Federal;S;N;N;05/06/2018;4.0
PJe;D;424.437.125;3604.0;14/03/2016 17:06;283;2ª Vara Federal;S;N;N;28/02/2020;3.0
PJe;D;43.039.589.775.741;10864.0;01/12/1997 14:48;283;14ª Vara Federal;S;N;N;22/03/2019;5.0
PJe;D;42.703.577.071.505;3632.0;42.691.571.370.787;283;14ª Vara Federal;S;N;N;27/04/2018;3.0
PJe;D;43.025.726.754.757;3531.0;43.025.726.754.757;283;12ª Vara Federal;S;N;N;29/09/2019;2.0
PJe;D;42.662.785.569.016;3637.0;4.266.276.384.287;283;2ª Vara Federal;S;N;N;13/06/2017;3.0
PJe;D;43.046.465.254.676.000;3539.0;43.046.465.254.676;283;14ª Vara Federal;S;N;N;26/02/2018;2.0
PJe;D;43.199.676.483.147.900;7792.0;43.199.676.483.147.900;386;15ª Vara Federal;S;N;N;30/01/2018;13.0
PJe;D;43.326.764.152.674;3432.0;43.326.764.152.674;283;11ª Vara Federal;S;N;N;03/06/2019;2.0
PJe;D;43.241.669.286.412.000;3579.0;43.241.669.286.412.000;283;11ª Vara Federal;S;N;N;07/02/2020;1.0
PJe;D;43.241.669.286.412.000;3533.0;43.241.669.286.412.000;283;11ª Vara Federal;S;N;N;07/02/2020;1.0
PJe;D;43.200.582.431.887;7792.0;43.166.671.817.153;386;14ª Vara Federal;S;N;N;18/08/2017;1.0
PJe;D;42.900.733.499.398;3608.0;42.900.733.499.398;279;2ª Vara Federal;S;N;N;16/10/2017;6.0
PJe;D;42.900.733.499.398;3608.0;42.900.733.499.398;283;2ª Vara Federal;S;N;N;16/10/2017;6.0
PJe;D;42.900.733.499.398;3608.0;43.208.815.603.299;283;2ª Vara Federal;S;N;N;16/10/2017;6.0
PJe;D;43.244.484.898.507;3432.0;43.244.484.898.507;283;14ª Vara Federal;S;N;N;27/02/2020;2.0
PJe;D;4.289.237.136.022;7785.0;4.289.237.136.022;386;8ª Vara Federal;S;N;N;02/03/2017;2.0
PJe;D;42.870.414.637.917.000;3539.0;42.870.414.637.917.000;283;12ª Vara Federal;S;N;N;23/01/2019;2.0
PJe;D;42.922.430.647.581;3435.0;42.922.430.647.581;283;15ª Vara Federal;S;N;N;13/01/2018;4.0
PJe;D;43.199.727.943.889;7792.0;43.172.490.581.331;386;15ª Vara Federal;S;N;N;18/08/2017;1.0
PJe;D;43.556.822.829.815;7792.0;43.556.822.829.815;386;15ª Vara Federal;S;N;N;07/03/2019;9.0
PJe;D;42.606.540.715.914;3432.0;43.320.802.414.132;283;14ª Vara Federal;S;N;N;29/05/2018;2.0
PJe;D;42.606.540.715.914;3432.0;42.606.540.715.914;283;14ª Vara Federal;S;N;N;29/05/2018;2.0
PJe;D;42.606.540.715.914;3432.0;43.391.657.917.222;283;14ª Vara Federal;S;N;N;29/05/2018;2.0
PJe;D;43.304.603.312.315;7792.0;43.249.706.933.785;386;14ª Vara Federal;S;N;N;16/10/2017;6.0
PJe;D;43.304.603.312.315;7788.0;43.249.706.933.785;386;15ª Vara Federal;S;N;N;16/10/2017;6.0
PJe;D;43.304.603.312.315;7788.0;43.249.706.933.785;386;14ª Vara Federal;S;N;N;16/10/2017;6.0
PJe;D;427.677.360.086;5566.0;427.677.360.086;283;11ª Vara Federal;S;N;N;22/01/2019;8.0
PJe;D;4.287.470.992;3608.0;42.874.679.561.157.000;283;14ª Vara Federal;S;N;N;23/10/2018;1.0
PJe;D;42.969.462.120.486;5571.0;42.968.599.001.736;283;14ª Vara Federal;S;N;N;13/01/2020;2.0
PJe;D;43.151.614.974.363;3574.0;43.151.614.974.363;283;9ª Vara Federal;S;N;N;24/12/2018;2.0
PJe;D;42.780.534.117.176;3531.0;42.780.534.117.176;283;15ª Vara Federal;S;N;N;26/03/2018;2.0
PJe;D;43.363.623.523.252.000;3637.0;43.363.623.523.252.000;283;14ª Vara Federal;S;N;N;30/04/2019;4.0
PJe;D;426.634.655.064;3432.0;426.634.655.064;283;11ª Vara Federal;S;N;N;04/12/2017;1.0
PJe;D;42.626.788.452.535;7945.0;42.614.547.280.081;283;14ª Vara Federal;S;N;N;25/09/2018;2.0
PJe;D;42.626.788.452.535;7945.0;42.614.547.280.081;283;2ª Vara Federal;S;N;N;25/09/2018;2.0
PJe;D;42.627.752.694.247.900;3432.0;42.627.752.694.247.900;10943;9ª Vara Federal;S;N;N;08/11/2018;1.0
PJe;D;42.669.420.795.035;10986.0;42.669.420.795.035;283;9ª Vara Federal;S;N;N;13/03/2020;2.0
PJe;D;42.669.420.795.035;10986.0;43.938.519.432.083;283;9ª Vara Federal;S;N;N;13/03/2020;2.0
PJe;D;42.690.644.394.803;3432.0;42.690.644.394.803;283;11ª Vara Federal;S;N;N;04/12/2017;1.0
PJe;D;43.396.501.409.155;5904.0;43.396.501.409.155;283;12ª Vara Federal;S;N;N;25/03/2019;1.0
PJe;D;43.053.375.022.454;3431.0;43.053.375.022.454;283;9ª Vara Federal;S;N;N;23/04/2018;0.0
PJe;D;43.363.594.834.711;7792.0;43.363.594.834.711;386;15ª Vara Federal;S;N;N;24/04/2018;9.0
PJe;D;42.696.773.156.169;7787.0;42.690.593.148.241;386;8ª Vara Federal;S;N;N;29/01/2018;2.0
PJe;D;42.696.773.156.169;7787.0;4.339.038.685.853;386;8ª Vara Federal;S;N;N;29/01/2018;2.0
PJe;D;42.830.789.446.447;5566.0;42.632.370.997.951;283;11ª Vara Federal;S;N;N;26/11/2018;13.0
PJe;D;42.648.510.969.282.000;5566.0;42.648.510.969.282.000;283;14ª Vara Federal;S;N;N;20/05/2019;6.0
PJe;D;43.439.758.017.627;3432.0;43.439.758.017.627;283;14ª Vara Federal;S;N;N;10/03/2020;1.0
PJe;D;4.332.669.376.331;3432.0;4.332.669.376.331;283;12ª Vara Federal;S;N;N;19/02/2019;0.0
PJe;D;43.006.731.133.992.900;3431.0;4.360.258.617.566;283;11ª Vara Federal;S;N;N;11/12/2018;2.0
PJe;D;43.241.669.286.412.000;3579.0;43.241.669.286.412.000;283;11ª Vara Federal;S;N;N;27/02/2020;3.0
PJe;D;43.241.669.286.412.000;3533.0;43.241.669.286.412.000;283;11ª Vara Federal;S;N;N;27/02/2020;3.0
PJe;D;43.200.595.288.958;7785.0;43.166.670.280.359;386;14ª Vara Federal;S;N;N;28/09/2017;1.0
PJe;D;43.244.484.898.507;3432.0;43.244.484.898.507;283;14ª Vara Federal;S;N;N;27/02/2020;2.0
PJe;D;43.195.675.853.067.000;3521.0;43.195.675.853.067.000;283;11ª Vara Federal;S;N;N;18/01/2019;2.0
PJe;D;43.423.599.496.597;3432.0;43.423.599.496.597;283;15ª Vara Federal;S;N;N;25/10/2019;2.0
PJe;D;4.288.772.070.765;3614.0;4.288.772.070.765;283;14ª Vara Federal;S;N;N;14/01/2019;3.0
PJe;D;4.288.772.070.765;3598.0;4.288.772.070.765;283;14ª Vara Federal;S;N;N;14/01/2019;3.0
PJe;D;42.704.554.930.104;5897.0;42.699.591.309.479;300;2ª Vara Federal;S;N;N;19/04/2018;6.0
PJe;D;43.229.772.461.538.900;5566.0;43.153.464.944.815;283;2ª Vara Federal;S;N;N;06/08/2019;7.0
PJe;D;43.229.772.461.538.900;5566.0;43.153.464.944.815;283;2ª Vara Federal;S;N;N;03/07/2019;8.0
PJe;D;43.229.772.461.538.900;3521.0;43.153.464.944.815;283;2ª Vara Federal;S;N;N;06/08/2019;7.0
PJe;D;43.229.772.461.538.900;3521.0;43.153.464.944.815;283;2ª Vara Federal;S;N;N;03/07/2019;8.0
